title,view,timeline,youtuber,genre,thumbnail
"[복학생 vlog] 연애 5일차💕 첫 데이트 브이로그(인생네컷 포즈, 홍대 데이트 코스, 쏠라씨, 용한 타로 카페, 우결, 남자 데이트룩, 합정 분위기 맛집, 인셉션 결말 해석)",1080000,5개월 전,빠더너스 BDNS,브이로그,https://i.ytimg.com/vi/Zj27xFoagl0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDU3Yz6d2PjxBIykGDjcHmZeauj5A
[IVE LOG] 레이의 사소한 행복🦋｜KONG LOG,1040000,3개월 전,IVE,브이로그,https://i.ytimg.com/vi/bq8trgIq2m4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCASfp4C6dFfNS2hyObGX7yn__a6Q
이제는 가난하지 않은 미국 필라델피아 의사 브이로그,1000000,3개월 전,파라과이맨 / Paraguayman,브이로그,https://i.ytimg.com/vi/ODxLX5MVpCw/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAM_AZd98AxbCkIpRbAJcmKUfIYTQ
월세 5만원 베란다 브이로그!!!,1000000,11개월 전,배말랭,브이로그,https://i.ytimg.com/vi/QvUpMNNv7sk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBzCOroRw8z5-uoj3cDPe6BBTelAw
"[먹방브이로그#59] 운전면허 따기 생각보다 별 거 아니네..?🤓🚘 명랑핫도그 마라로제떡볶이,라면땅핫도그,크림치즈핫도그,불닭+옹심이만두,공차,커스터드찰떡꼬치,연세우유크림빵",1010000,3개월 전,살빼조DietJo,브이로그,https://i.ytimg.com/vi/Ay2wBWtDJU0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCwtdY3r_x5mn0tXOC2q6XydsJGXw
당근마켓 vlog 🥕 • 당근마켓 • 브이로그 • 당근마켓 브이로그 • 포장영상,1000000,10개월 전,컵쿠,브이로그,https://i.ytimg.com/vi/uEJlP5n-PiI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDFMzIk0xTpIOMV7okAPlr9GXLP_Q
[8수생 브이로그] 공장 때려치고 공시 준비합니다... (feat.전두길 쌤),1000000,5개월 전,뷰티풀너드,브이로그,https://i.ytimg.com/vi/wZ3lLF3CRvs/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCq9cD8tZa6N4zViTOavZ2FtmoLdg
1년만에 헬창이 되버린 남자의 브이로그,990000,6개월 전,보따,브이로그,https://i.ytimg.com/vi/csWRoyMcTcY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCEyLwsDh0QwiKLgrkLxLw1XPMyWw
[EN-loG] 함께라서 더 즐거운 니키의 브이로그✌️ NI-KI DAY - ENHYPEN (엔하이픈),980000,8개월 전,ENHYPEN,브이로그,https://i.ytimg.com/vi/JhB2G28Y2Lg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAgpmCdzVf1ffdNBD-hWF4EybTVGQ
"[복학생 vlog] 미래의 훈남 오빠 성형 브이로그 (남자 성형, 견적상담, 바디프로필, 3대 500, 남자 쌍수 후기, 외모지상주의)",970000,11개월 전,빠더너스 BDNS,브이로그,https://i.ytimg.com/vi/KBOG-L9Inlc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBNCQRy8X__eAWv7Mqg36crBDmiCQ
